,Link,Download,Event,Date,Match
17,https://www.hltv.org/matches/2321969/furia-vs-c4-esl-brazil-premier-league-season-5,https://www.hltv.org/download/demo/39042,ESL Brazil Premier League Season 5,16th of April 2018,FURIA vs. C4
18,https://www.hltv.org/matches/2321858/isurus-vs-furia-esl-latin-america-league-season-1,https://www.hltv.org/download/demo/39031,ESL Latin America League Season 1,15th of April 2018,Isurus vs. FURIA
19,https://www.hltv.org/matches/2321748/furia-vs-isurus-esl-latin-america-league-season-1,https://www.hltv.org/download/demo/39030,ESL Latin America League Season 1,15th of April 2018,FURIA vs. Isurus
20,https://www.hltv.org/matches/2321853/furious-vs-furia-esl-latin-america-league-season-1,https://www.hltv.org/download/demo/38975,ESL Latin America League Season 1,14th of April 2018,Furious vs. FURIA
21,https://www.hltv.org/matches/2321743/furia-vs-furious-esl-latin-america-league-season-1,https://www.hltv.org/download/demo/38971,ESL Latin America League Season 1,14th of April 2018,FURIA vs. Furious
22,https://www.hltv.org/matches/2321893/yeah-vs-furia-esea-open-season-27-brazil,https://www.hltv.org/download/demo/38776,ESEA Open Season 27 Brazil,10th of April 2018,Yeah vs. FURIA
23,https://www.hltv.org/matches/2321852/furia-vs-sharks-esl-latin-america-league-season-1,https://www.hltv.org/download/demo/38771,ESL Latin America League Season 1,9th of April 2018,FURIA vs. Sharks
24,https://www.hltv.org/matches/2321742/sharks-vs-furia-esl-latin-america-league-season-1,https://www.hltv.org/download/demo/38770,ESL Latin America League Season 1,9th of April 2018,Sharks vs. FURIA
25,https://www.hltv.org/matches/2321835/wild-vs-furia-esl-latin-america-league-season-1,https://www.hltv.org/download/demo/38716,ESL Latin America League Season 1,7th of April 2018,Wild vs. FURIA
26,https://www.hltv.org/matches/2321737/furia-vs-wild-esl-latin-america-league-season-1,https://www.hltv.org/download/demo/38714,ESL Latin America League Season 1,7th of April 2018,FURIA vs. Wild
27,https://www.hltv.org/matches/2321799/furia-vs-ex-tempo-storm-esea-open-season-27-brazil,https://www.hltv.org/download/demo/38681,ESEA Open Season 27 Brazil,7th of April 2018,FURIA vs. ex-Tempo Storm
28,https://www.hltv.org/matches/2321690/furia-vs-c4-esea-open-season-27-brazil,https://www.hltv.org/download/demo/38596,ESEA Open Season 27 Brazil,5th of April 2018,FURIA vs. C4
29,https://www.hltv.org/matches/2321699/yeah-vs-furia-alienware-liga-pro-gamers-club-mar-18,https://www.hltv.org/download/demo/38546,Alienware Liga Pro Gamers Club - MAR/18,4th of April 2018,Yeah vs. FURIA
30,https://www.hltv.org/matches/2321546/furia-vs-teammate-esl-latin-america-league-season-1-closed-qualifier,https://www.hltv.org/download/demo/38494,ESL Latin America League Season 1 Closed Qualifier,2nd of April 2018,FURIA vs. TEAMMATE
31,https://www.hltv.org/matches/2321540/furia-vs-yeah-aorus-league-2018-season-1-brazil-finals,https://www.hltv.org/download/demo/38389,Aorus League 2018 Season 1 Brazil Finals,31st of March 2018,FURIA vs. Yeah
32,https://www.hltv.org/matches/2321321/furia-vs-avalanche-alienware-liga-pro-gamers-club-mar-18,https://www.hltv.org/download/demo/38329,Alienware Liga Pro Gamers Club - MAR/18,29th of March 2018,FURIA vs. Avalanche
